country,dystopia_residual,economy,family,freedom,generosity,rank,score,health,lower_confidence,lower_whisker,region,standard_error,trust,upper_confidence,upper_whisker,year
Uruguay,2.172409534,1.217559695,1.412227869,0.579392254,0.175096929,28,6.453999996,0.719216824,NULL,6.362093775,Latin America and Caribbean,NULL,0.178061873,NULL,6.545906218,2017
Guatemala,2.893891096,0.872001946,1.255585194,0.531310618,0.283488393,29,6.453999996,0.54023999,NULL,6.34112602,Latin America and Caribbean,NULL,0.077223279,NULL,6.566873973,2017
Panama,2.307199955,1.233748436,1.373192549,0.550026834,0.210556939,30,6.452000141,0.706156135,NULL,6.346869566,Latin America and Caribbean,NULL,0.070983924,NULL,6.557130716,2017
France,2.005954742,1.430923462,1.387776852,0.470222116,0.129762307,31,6.441999912,0.844465852,NULL,6.368232022,Western Europe,NULL,0.172502428,NULL,6.515767802,2017
Thailand,2.039508343,1.127868772,1.425792456,0.580200732,0.57212311,32,6.423999786,0.647239029,NULL,6.338882717,Southeastern Asia,NULL,0.031612735,NULL,6.509116856,2017
Taiwan,2.126607418,1.433626533,1.384565353,0.361466587,0.258360475,33,6.421999931,0.793984234,NULL,6.349403841,Eastern Asia,NULL,0.063829236,NULL,6.494596022,2017
Spain,1.92775774,1.384397864,1.532090902,0.40878123,0.190133572,34,6.402999878,0.8889606,NULL,6.334944911,Western Europe,NULL,0.070914097,NULL,6.471054845,2017
Qatar,1.14546442,1.870765686,1.27429688,0.604130983,0.33047387,35,6.375,0.710098088,NULL,6.181523186,Middle East and Northern Africa,NULL,0.439299256,NULL,6.568476814,2017
Colombia,2.616068125,1.070622325,1.402182937,0.477487415,0.149014473,36,6.356999874,0.595027924,NULL,6.261979694,Latin America and Caribbean,NULL,0.046668742,NULL,6.452020054,2017
Saudi Arabia,2.065429688,1.530623555,1.286677599,0.449750572,0.147616014,37,6.343999863,0.59014833,NULL,6.243833113,Middle East and Northern Africa,NULL,0.273432255,NULL,6.444166612,2017
Trinidad & Tobago,2.053247452,1.361355901,1.380228519,0.518630743,0.325296462,38,6.168000221,0.519983292,NULL,5.954466552,Latin America and Caribbean,NULL,0.008964816,NULL,6.381533891,2017
Kuwait,1.640425205,1.632952452,1.259698749,0.496337593,0.228289798,39,6.105000019,0.632105708,NULL,6.018043049,Middle East and Northern Africa,NULL,0.21515955,NULL,6.191956989,2017
Slovakia,2.097776651,1.325393558,1.505059242,0.295817465,0.136544481,40,6.09800005,0.712732911,NULL,6.018651687,Central and Eastern Europe,NULL,0.024210852,NULL,6.177348412,2017
Bahrain,1.656149387,1.488412261,1.323110461,0.536746919,0.172668487,41,6.086999893,0.653133035,NULL,5.995010719,Middle East and Northern Africa,NULL,0.25704217,NULL,6.178989068,2017
Malaysia,2.004448891,1.29121542,1.284646034,0.402264982,0.41660893,42,6.084000111,0.618784428,NULL,5.988020585,Southeastern Asia,NULL,0.065600708,NULL,6.179979637,2017
Nicaragua,2.513930559,0.737299204,1.28721571,0.447551847,0.301674217,43,6.071000099,0.653095961,NULL,5.955416598,Latin America and Caribbean,NULL,0.130687982,NULL,6.1865836,2017
Ecuador,2.290352583,1.000820398,1.286168814,0.455198199,0.150112465,44,6.007999897,0.685636222,NULL,5.910152119,Latin America and Caribbean,NULL,0.140134647,NULL,6.105847675,2017
El Salvador,2.714593887,0.909784496,1.182125092,0.43245253,0.078257985,45,6.002999783,0.596018553,NULL,5.897364443,Latin America and Caribbean,NULL,0.08998096,NULL,6.108635122,2017
Poland,1.797722816,1.291787863,1.44571197,0.520342112,0.158465967,46,5.97300005,0.699475348,NULL,5.892091758,Central and Eastern Europe,NULL,0.059307806,NULL,6.053908341,2017
Uzbekistan,1.816913605,0.786441088,1.54896915,0.658248663,0.415983647,47,5.971000195,0.498272628,NULL,5.876462816,Central and Eastern Europe,NULL,0.246528223,NULL,6.065537573,2017
Italy,1.813312054,1.395066619,1.444923282,0.256450713,0.172789648,48,5.964000225,0.853144348,NULL,5.885263544,Western Europe,NULL,0.028028091,NULL,6.042736906,2017
Russia,2.205607414,1.281778097,1.469282389,0.373783112,0.052263822,49,5.962999821,0.547349334,NULL,5.895724734,Central and Eastern Europe,NULL,0.032962881,NULL,6.030274907,2017
Belize,2.631955624,0.907975316,1.081417799,0.547509372,0.240015641,50,5.955999851,0.450191766,NULL,5.714757385,Latin America and Caribbean,NULL,0.096581072,NULL,6.197242318,2017
Japan,1.363223553,1.416915178,1.436337829,0.505625546,0.120572768,51,5.920000076,0.913475871,NULL,5.849280708,Eastern Asia,NULL,0.163760737,NULL,5.990719445,2017
Lithuania,2.228440523,1.314582348,1.473516107,0.234231785,0.010164657,52,5.90199995,0.62894994,NULL,5.821330259,Central and Eastern Europe,NULL,0.011865643,NULL,5.982669641,2017
Algeria,2.567603827,1.091864467,1.146217465,0.233335808,0.069436647,53,5.872000217,0.617584646,NULL,5.765714001,Middle East and Northern Africa,NULL,0.14609611,NULL,5.978286434,2017
Latvia,1.993655205,1.260748625,1.404714942,0.325707912,0.153074786,54,5.849999905,0.638566971,NULL,5.779736271,Central and Eastern Europe,NULL,0.073842727,NULL,5.920263538,2017
South Korea,1.880378008,1.401678443,1.128274441,0.257921666,0.206674367,55,5.837999821,0.900214076,NULL,5.753440613,Eastern Asia,NULL,0.063282669,NULL,5.922559028,2017
Moldova,2.807808399,0.72887063,1.251825571,0.240729049,0.208779126,56,5.837999821,0.589465201,NULL,5.767628803,Central and Eastern Europe,NULL,0.010091286,NULL,5.908370838,2017
Romania,2.176831484,1.217683911,1.15009129,0.457003742,0.133519918,57,5.824999809,0.685158312,NULL,5.730305462,Central and Eastern Europe,NULL,0.004387901,NULL,5.919694157,2017
Bolivia,2.443279028,0.833756566,1.227619052,0.558732927,0.225560725,58,5.822999954,0.47363025,NULL,5.742023006,Latin America and Caribbean,NULL,0.060477726,NULL,5.903976903,2017
Turkmenistan,1.832909822,1.130776763,1.493149161,0.418271929,0.249924988,59,5.822000027,0.43772608,NULL,5.758819178,Central and Eastern Europe,NULL,0.25927034,NULL,5.885180876,2017
Kazakhstan,1.784892559,1.28455627,1.384369016,0.437454283,0.201964423,60,5.818999767,0.606041551,NULL,5.73435776,Central and Eastern Europe,NULL,0.119282886,NULL,5.903641775,2017
North Cyprus,1.549157619,1.346911311,1.186303377,0.471203625,0.266845703,61,5.809999943,0.834647238,NULL,5.722633421,Western Europe,NULL,0.155353352,NULL,5.897366465,2017
Slovenia,1.313317299,1.341205955,1.452518821,0.572575808,0.242649093,62,5.757999897,0.790828228,NULL,5.673774634,Central and Eastern Europe,NULL,0.045128979,NULL,5.84222516,2017
Peru,2.20726943,1.035225272,1.218770385,0.450002879,0.126819715,63,5.715000153,0.630166113,NULL,5.618053527,Latin America and Caribbean,NULL,0.047049087,NULL,5.811946779,2017
Mauritius,1.697583914,1.189395547,1.20956099,0.491247326,0.360933751,64,5.629000187,0.638007462,NULL,5.528138182,Sub-Saharan Africa,NULL,0.042181555,NULL,5.729862192,2017
Cyprus,1.621249199,1.355938077,1.131363273,0.355111539,0.271254301,65,5.620999813,0.844714701,NULL,5.527306927,Western Europe,NULL,0.041237976,NULL,5.714692699,2017
Estonia,1.357508659,1.32087934,1.4766711,0.47913143,0.098890811,66,5.611000061,0.695168316,NULL,5.533860248,Central and Eastern Europe,NULL,0.183248922,NULL,5.688139874,2017
Belarus,1.723232985,1.15655756,1.444945216,0.295400262,0.155137509,67,5.568999767,0.637714267,NULL,5.491885291,Central and Eastern Europe,NULL,0.156313822,NULL,5.646114244,2017
Libya,1.835011244,1.101803064,1.35756433,0.46573323,0.152073666,68,5.525000095,0.52016902,NULL,5.373046384,Middle East and Northern Africa,NULL,0.09261021,NULL,5.676953807,2017
Turkey,1.879277945,1.198274374,1.337753177,0.3007406,0.046693042,69,5.5,0.637605608,NULL,5.405135037,Middle East and Northern Africa,NULL,0.09967158,NULL,5.594864963,2017
Paraguay,1.68533349,0.932537317,1.50728488,0.473507792,0.224150658,70,5.493000031,0.579250693,NULL,5.408618791,Latin America and Caribbean,NULL,0.091065913,NULL,5.57738127,2017
Hong Kong,0.554633141,1.551674843,1.262790918,0.490968645,0.374465793,71,5.472000122,0.943062425,NULL,5.394406071,Eastern Asia,NULL,0.293933749,NULL,5.549594173,2017
Philippines,1.972604752,0.857699215,1.253917575,0.585214674,0.193513423,72,5.429999828,0.468009055,NULL,5.314664602,Southeastern Asia,NULL,0.099331893,NULL,5.545335054,2017
Serbia,1.947084427,1.069317579,1.258189797,0.208715528,0.220125884,73,5.394999981,0.650784671,NULL,5.298430306,Central and Eastern Europe,NULL,0.040903781,NULL,5.491569656,2017
Jordan,1.791176558,0.991012394,1.239088893,0.418421149,0.17217046,74,5.335999966,0.604590058,NULL,5.223589909,Middle East and Northern Africa,NULL,0.119803272,NULL,5.448410022,2017
Hungary,1.716459274,1.286011934,1.343133092,0.175863519,0.078401662,75,5.323999882,0.687763453,NULL,5.244960054,Central and Eastern Europe,NULL,0.036636937,NULL,5.403039709,2017
Jamaica,1.612325668,0.925579309,1.368218064,0.474307239,0.233818337,76,5.31099987,0.641022384,NULL,5.040601012,Latin America and Caribbean,NULL,0.055267781,NULL,5.581398728,2017
Croatia,1.854492426,1.222556233,0.967983007,0.255772293,0.248002976,77,5.293000221,0.701288521,NULL,5.194223238,Central and Eastern Europe,NULL,0.04310311,NULL,5.391777205,2017
Kosovo,2.010540724,0.951484382,1.137853503,0.260287941,0.319931448,78,5.278999805,0.54145205,NULL,5.193151615,Central and Eastern Europe,NULL,0.057471618,NULL,5.364847995,2017
China,1.764938593,1.081165791,1.160837412,0.472787708,0.028806841,79,5.272999763,0.741415501,NULL,5.226721437,Eastern Asia,NULL,0.022794275,NULL,5.31927809,2017
Pakistan,2.79248929,0.726883531,0.67269069,0.235215262,0.315446019,80,5.269000053,0.402047783,NULL,5.178016465,Southern Asia,NULL,0.124348067,NULL,5.359983641,2017
Indonesia,1.429476976,0.995538592,1.274444699,0.443323463,0.611704588,81,5.262000084,0.492345721,NULL,5.17111157,Southeastern Asia,NULL,0.015317135,NULL,5.352888598,2017
Venezuela,1.789463758,1.128431201,1.431337595,0.153997123,0.06501963,82,5.25,0.617144227,NULL,5.129968054,Latin America and Caribbean,NULL,0.064491123,NULL,5.370031946,2017
Montenegro,1.729191542,1.121129036,1.238376498,0.194989055,0.197911024,83,5.236999989,0.667464674,NULL,5.132955537,Central and Eastern Europe,NULL,0.088174194,NULL,5.341044441,2017
Morocco,2.456189394,0.878114581,0.774864435,0.408158332,0.032209955,84,5.235000134,0.597710669,NULL,5.151659302,Middle East and Northern Africa,NULL,0.087763183,NULL,5.318340965,2017
Azerbaijan,1.762481689,1.153601766,1.152400255,0.398155838,0.04526934,85,5.234000206,0.540775776,NULL,5.168713877,Central and Eastern Europe,NULL,0.180987507,NULL,5.299286535,2017
Dominican Republic,1.31946516,1.079373837,1.402416706,0.552589834,0.18696785,86,5.230000019,0.574873745,NULL,5.110939153,Latin America and Caribbean,NULL,0.113945253,NULL,5.349060885,2017
Greece,1.749221563,1.289487481,1.239414573,0.095731251,0,87,5.227000237,0.810198903,NULL,5.128754304,Western Europe,NULL,0.043289777,NULL,5.325246169,2017
Lebanon,1.695073843,1.074987531,1.129624248,0.288515985,0.264450759,88,5.224999905,0.735081077,NULL,5.131117521,Middle East and Northern Africa,NULL,0.03751383,NULL,5.318882288,2017
Portugal,1.107682705,1.315175295,1.367043018,0.4984653,0.095102713,89,5.195000172,0.795843542,NULL,5.10495861,Western Europe,NULL,0.015869452,NULL,5.285041733,2017
Bosnia and Herzegovina,1.892172575,0.982409418,1.069335938,0.204403177,0.328867495,90,5.18200016,0.705186307,NULL,5.087664634,Central and Eastern Europe,NULL,0,NULL,5.276335687,2017
Honduras,2.065811157,0.730573118,1.143944979,0.34807986,0.236188874,91,5.181000233,0.58256948,NULL,5.060417669,Latin America and Caribbean,NULL,0.073345453,NULL,5.301582797,2017
Macedonia,1.617469311,1.064577937,1.207893014,0.325905979,0.253760964,92,5.175000191,0.644948184,NULL,5.077827742,Central and Eastern Europe,NULL,0.060277794,NULL,5.27217264,2017
Somalia,3.11748457,0.022643184,0.721151352,0.602126956,0.291631311,93,5.151000023,0.113989137,NULL,5.059516336,Sub-Saharan Africa,NULL,0.282410324,NULL,5.24248371,2017
Vietnam,1.462318659,0.788547575,1.277491331,0.571055591,0.234968051,94,5.073999882,0.652168989,NULL,5.000718999,Southeastern Asia,NULL,0.087633237,NULL,5.147280765,2017
Nigeria,2.365390539,0.783756256,1.215770483,0.394952565,0.230947196,95,5.073999882,0.05691573,NULL,4.938499628,Sub-Saharan Africa,NULL,0.026121566,NULL,5.209500135,2017
Tajikistan,1.84904933,0.524713635,1.271463275,0.471566707,0.248997644,96,5.040999889,0.529235125,NULL,4.970574183,Central and Eastern Europe,NULL,0.146377146,NULL,5.111425596,2017
Bhutan,1.140184402,0.885416389,1.340126514,0.501537681,0.474054545,97,5.011000156,0.495879292,NULL,4.942665751,Southern Asia,NULL,0.17338039,NULL,5.079334562,2017
Kyrgyzstan,1.536723137,0.596220076,1.394238591,0.454943389,0.428580374,98,5.004000187,0.553457797,NULL,4.918080471,Central and Eastern Europe,NULL,0.039439179,NULL,5.089919903,2017
Nepal,1.891241074,0.479820192,1.179283261,0.440305948,0.394096166,99,4.961999893,0.504130781,NULL,4.856643707,Southern Asia,NULL,0.072975546,NULL,5.067356079,2017
Mongolia,1.111292362,1.027235866,1.493011236,0.394143969,0.33846423,100,4.954999924,0.557783484,NULL,4.888320338,Eastern Asia,NULL,0.032902289,NULL,5.021679509,2017
South Africa,1.510908604,1.054698706,1.384788632,0.479246736,0.13936238,101,4.828999996,0.18708007,NULL,4.728564805,Sub-Saharan Africa,NULL,0.072509497,NULL,4.929435188,2017
Tunisia,1.89025116,1.007265806,0.86835146,0.28968069,0.049693357,102,4.804999828,0.613212049,NULL,4.72563265,Middle East and Northern Africa,NULL,0.086723149,NULL,4.884367007,2017
Palestinian Territories,1.878890276,0.716249228,1.155647159,0.254711062,0.114173174,103,4.775000095,0.565666974,NULL,4.668151848,Middle East and Northern Africa,NULL,0.089282602,NULL,4.881848343,2017
Egypt,1.702161074,0.989701807,0.997471392,0.282110155,0.128631443,104,4.735000134,0.520187259,NULL,4.644866477,Middle East and Northern Africa,NULL,0.114381365,NULL,4.82513379,2017
Bulgaria,0.996139288,1.161459088,1.434379458,0.289231718,0.113177694,105,4.714000225,0.70821768,NULL,4.624305744,Central and Eastern Europe,NULL,0.011051531,NULL,4.803694706,2017
Sierra Leone,2.668459892,0.368420929,0.984136045,0.318697691,0.293040901,106,4.709000111,0.005564754,NULL,4.567356886,Sub-Saharan Africa,NULL,0.071095176,NULL,4.850643335,2017
Cameroon,2.333645582,0.564305365,0.946018219,0.430388749,0.236298457,107,4.695000172,0.132892117,NULL,4.593459486,Sub-Saharan Africa,NULL,0.051306631,NULL,4.796540857,2017
Iran,1.498734951,1.156873107,0.711551249,0.249322608,0.387242913,108,4.691999912,0.639333189,NULL,4.585775117,Middle East and Northern Africa,NULL,0.048761073,NULL,4.798224708,2017
Albania,1.490441561,0.996192753,0.803685248,0.381498635,0.201312944,109,4.644000053,0.731159747,NULL,4.5355361,Central and Eastern Europe,NULL,0.039864216,NULL,4.752464006,2017
Bangladesh,1.978736162,0.586682975,0.735131741,0.478356659,0.172255352,110,4.607999802,0.533241034,NULL,4.526177945,Southern Asia,NULL,0.123717859,NULL,4.689821658,2017
Namibia,1.481890202,0.964434326,1.098470807,0.520303547,0.077133745,111,4.573999882,0.338611811,NULL,4.377645023,Sub-Saharan Africa,NULL,0.093146972,NULL,4.770354741,2017
Kenya,1.651902199,0.560479462,1.067950726,0.452763766,0.444860309,112,4.552999973,0.30998835,NULL,4.450308356,Sub-Saharan Africa,NULL,0.064641319,NULL,4.655691591,2017
Mozambique,2.355650902,0.23430565,0.870701015,0.480791092,0.322228104,113,4.550000191,0.106654435,NULL,4.325898055,Sub-Saharan Africa,NULL,0.179436386,NULL,4.774102326,2017
Myanmar,1.115290403,0.36711055,1.123235941,0.514492035,0.838075161,114,4.545000076,0.397522569,NULL,4.475260206,Southeastern Asia,NULL,0.188816205,NULL,4.614739946,2017
Senegal,1.789646149,0.479309022,1.179691911,0.377922267,0.183468893,115,4.534999847,0.409362853,NULL,4.468395914,Sub-Saharan Africa,NULL,0.115460448,NULL,4.601603781,2017
Zambia,1.826705456,0.636406779,1.003187299,0.461603492,0.249580145,116,4.513999939,0.257835895,NULL,4.383894376,Sub-Saharan Africa,NULL,0.07821355,NULL,4.644105501,2017
Iraq,1.318907261,1.102710485,0.978613198,0.288555533,0.199637264,117,4.497000217,0.50118047,NULL,4.371409025,Middle East and Northern Africa,NULL,0.107215755,NULL,4.62259141,2017
Gabon,1.322916269,1.198210239,1.155620217,0.312328577,0.043785378,118,4.465000153,0.356578588,NULL,4.37263854,Sub-Saharan Africa,NULL,0.076046787,NULL,4.557361766,2017
Ethiopia,2.015743732,0.339233845,0.864669204,0.408842742,0.31265074,119,4.460000038,0.353409708,NULL,4.3772714,Sub-Saharan Africa,NULL,0.165455714,NULL,4.542728677,2017
Sri Lanka,0.419389248,1.009850144,1.259976387,0.561213255,0.490863562,120,4.440000057,0.625130832,NULL,4.326552922,Southern Asia,NULL,0.073653966,NULL,4.553447192,2017
Armenia,1.521499157,0.900596738,1.007483721,0.198303267,0.083488092,121,4.375999928,0.637524426,NULL,4.285265243,Central and Eastern Europe,NULL,0.026674422,NULL,4.466734612,2017
India,1.519117117,0.792221248,0.754372597,0.469987005,0.231538489,122,4.315000057,0.455427617,NULL,4.258478097,Southern Asia,NULL,0.092226885,NULL,4.371522017,2017
Mauritania,1.651637316,0.648457289,1.27203083,0.096098043,0.201870024,123,4.291999817,0.28534928,NULL,4.206836018,Sub-Saharan Africa,NULL,0.136957005,NULL,4.377163616,2017
Congo (Brazzaville),1.724135637,0.808964252,0.832044363,0.435025871,0.120852128,124,4.290999889,0.289957434,NULL,4.171946274,Sub-Saharan Africa,NULL,0.079618134,NULL,4.410053505,2017
Georgia,1.500137806,0.950612664,0.570614934,0.309410036,0.054008815,125,4.285999775,0.649546981,NULL,4.197065584,Central and Eastern Europe,NULL,0.251666635,NULL,4.374933966,2017
Congo (Kinshasa),2.224958658,0.092102349,1.229023457,0.235961348,0.246455833,126,4.28000021,0.191407025,NULL,4.202189587,Sub-Saharan Africa,NULL,0.060241356,NULL,4.357810833,2017
Mali,1.668190956,0.476180494,1.281473398,0.306613743,0.183354199,127,4.190000057,0.169365674,NULL,4.110329403,Sub-Saharan Africa,NULL,0.104970247,NULL,4.269670711,2017
Ivory Coast,1.844964266,0.603048921,0.90478003,0.447706193,0.20123747,128,4.179999828,0.04864217,NULL,4.084817093,Sub-Saharan Africa,NULL,0.130061775,NULL,4.275182563,2017
Cambodia,1.042941093,0.601765096,1.006238341,0.633375823,0.385922968,129,4.168000221,0.429783404,NULL,4.057482629,Southeastern Asia,NULL,0.068105951,NULL,4.278517814,2017
Sudan,1.68706584,0.659516692,1.21400857,0.014995855,0.182317451,130,4.138999939,0.290920824,NULL,3.932252713,Sub-Saharan Africa,NULL,0.08984752,NULL,4.345747165,2017
Ghana,1.577867508,0.667224824,0.873664737,0.423026294,0.256923944,131,4.119999886,0.295637727,NULL,4.017292563,Sub-Saharan Africa,NULL,0.02533637,NULL,4.222707209,2017
Ukraine,0.814382315,0.894651949,1.394537568,0.122974776,0.270061463,132,4.096000195,0.575903952,NULL,4.006590285,Central and Eastern Europe,NULL,0.023029471,NULL,4.185410105,2017
Uganda,1.526362658,0.381430715,1.129827738,0.443185955,0.325766057,133,4.080999851,0.217632607,NULL,3.966199735,Sub-Saharan Africa,NULL,0.057069719,NULL,4.195799967,2017
Burkina Faso,1.727212906,0.350227714,1.043280005,0.324367851,0.250864685,134,4.032000065,0.215844259,NULL,3.939941065,Sub-Saharan Africa,NULL,0.120328106,NULL,4.124059064,2017
Niger,1.873983383,0.161925331,0.993025005,0.363658696,0.228673846,135,4.027999878,0.268505007,NULL,3.944052936,Sub-Saharan Africa,NULL,0.138572946,NULL,4.11194682,2017
Malawi,2.081786156,0.233442038,0.512568831,0.466914654,0.28717047,136,3.970000029,0.315089583,NULL,3.86252124,Sub-Saharan Africa,NULL,0.072711654,NULL,4.077478817,2017
Chad,2.071238041,0.438012987,0.953855872,0.162342027,0.21611385,137,3.936000109,0.041134715,NULL,3.837288693,Sub-Saharan Africa,NULL,0.053581882,NULL,4.034711524,2017
Zimbabwe,1.597970247,0.375846535,1.083095908,0.336384207,0.189143494,138,3.875,0.196763754,NULL,3.771300357,Sub-Saharan Africa,NULL,0.095375381,NULL,3.978699643,2017
Lesotho,1.42983532,0.521021247,1.190095186,0.390661299,0.157497272,139,3.808000088,0,NULL,3.5716562,Sub-Saharan Africa,NULL,0.11909464,NULL,4.044343975,2017
Angola,1.614482403,0.85842818,1.10441196,0,0.09792649,140,3.795000076,0.049868666,NULL,3.638358217,Sub-Saharan Africa,NULL,0.069720335,NULL,3.951641935,2017
Afghanistan,2.150801182,0.401477218,0.581543326,0.10617952,0.311870933,141,3.79399991,0.180746779,NULL,3.714338405,Southern Asia,NULL,0.06115783,NULL,3.873661415,2017
Botswana,0.377913713,1.122094154,1.221554995,0.505196333,0.099348448,142,3.766000032,0.341755509,NULL,3.657877399,Sub-Saharan Africa,NULL,0.098583199,NULL,3.874122666,2017
Benin,1.885630965,0.431085408,0.435299844,0.425962776,0.207948461,143,3.657000065,0.209930211,NULL,3.568216578,Sub-Saharan Africa,NULL,0.060929015,NULL,3.745783551,2017
Madagascar,1.584612608,0.305808693,0.913020372,0.189196765,0.20873253,144,3.644000053,0.375223309,NULL,3.573681001,Sub-Saharan Africa,NULL,0.067231975,NULL,3.714319106,2017
Haiti,1.697167635,0.368610263,0.640449822,0.030369857,0.489203781,145,3.602999926,0.27732113,NULL,3.471285053,Latin America and Caribbean,NULL,0.09987215,NULL,3.734714798,2017
Yemen,1.345600605,0.591683447,0.935382247,0.249463722,0.104125209,146,3.592999935,0.310080916,NULL,3.49324955,Middle East and Northern Africa,NULL,0.056767423,NULL,3.69275032,2017
South Sudan,1.879567385,0.397248626,0.601323128,0.147062436,0.285670817,147,3.59100008,0.163486004,NULL,3.456461574,Sub-Saharan Africa,NULL,0.116793513,NULL,3.725538586,2017
Liberia,1.673285961,0.119041793,0.872117937,0.332881182,0.266549885,148,3.532999992,0.229918197,NULL,3.412243724,Sub-Saharan Africa,NULL,0.038948249,NULL,3.653756261,2017
Guinea,1.552311897,0.24454993,0.791244686,0.348587513,0.264815092,149,3.506999969,0.194129139,NULL,3.42957181,Sub-Saharan Africa,NULL,0.110937618,NULL,3.584428129,2017
Togo,1.837229252,0.305444717,0.43188253,0.380426139,0.196896151,150,3.494999886,0.247105569,NULL,3.395961659,Sub-Saharan Africa,NULL,0.095665015,NULL,3.594038112,2017
Rwanda,0.540061235,0.368745893,0.945707023,0.581843853,0.252756029,151,3.470999956,0.326424807,NULL,3.398969679,Sub-Saharan Africa,NULL,0.455220014,NULL,3.543030234,2017
Syria,1.061573505,0.777153134,0.396102607,0.081539445,0.493663728,152,3.461999893,0.500533342,NULL,3.26033123,Middle East and Northern Africa,NULL,0.151347131,NULL,3.663668557,2017
Tanzania,0.621130466,0.511135876,1.041989803,0.390017778,0.354256362,153,3.348999977,0.364509284,NULL,3.236570199,Sub-Saharan Africa,NULL,0.066035107,NULL,3.461429755,2017
Burundi,1.683024168,0.091622569,0.629793584,0.059900753,0.204435185,154,2.904999971,0.151610792,NULL,2.73530961,Sub-Saharan Africa,NULL,0.084147945,NULL,3.074690333,2017
Central African Republic,2.066004753,0,0,0.270842046,0.280876487,155,2.693000078,0.018772686,NULL,2.521115887,Sub-Saharan Africa,NULL,0.056565076,NULL,2.864884269,2017
Finland,NULL,1.305,1.592,0.681,0.202,1,7.632,0.874,NULL,NULL,Western Europe,NULL,0.393,NULL,NULL,2018
Norway,NULL,1.456,1.582,0.686,0.286,2,7.594,0.861,NULL,NULL,Western Europe,NULL,0.34,NULL,NULL,2018
Denmark,NULL,1.351,1.59,0.683,0.284,3,7.555,0.868,NULL,NULL,Western Europe,NULL,0.408,NULL,NULL,2018
Iceland,NULL,1.343,1.644,0.677,0.353,4,7.495,0.914,NULL,NULL,Western Europe,NULL,0.138,NULL,NULL,2018
Switzerland,NULL,1.42,1.549,0.66,0.256,5,7.487,0.927,NULL,NULL,Western Europe,NULL,0.357,NULL,NULL,2018
Netherlands,NULL,1.361,1.488,0.638,0.333,6,7.441,0.878,NULL,NULL,Western Europe,NULL,0.295,NULL,NULL,2018
Canada,NULL,1.33,1.532,0.653,0.321,7,7.328,0.896,NULL,NULL,North America,NULL,0.291,NULL,NULL,2018
New Zealand,NULL,1.268,1.601,0.669,0.365,8,7.324,0.876,NULL,NULL,Australia and New Zealand,NULL,0.389,NULL,NULL,2018
Sweden,NULL,1.355,1.501,0.659,0.285,9,7.314,0.913,NULL,NULL,Western Europe,NULL,0.383,NULL,NULL,2018
Australia,NULL,1.34,1.573,0.647,0.361,10,7.272,0.91,NULL,NULL,Australia and New Zealand,NULL,0.302,NULL,NULL,2018
United Kingdom,NULL,1.244,1.433,0.464,0.262,11,7.19,0.888,NULL,NULL,Western Europe,NULL,0.082,NULL,NULL,2018
Austria,NULL,1.341,1.504,0.617,0.242,12,7.139,0.891,NULL,NULL,Western Europe,NULL,0.224,NULL,NULL,2018
Costa Rica,NULL,1.01,1.459,0.632,0.143,13,7.072,0.817,NULL,NULL,Latin America and Caribbean,NULL,0.101,NULL,NULL,2018
Ireland,NULL,1.448,1.583,0.614,0.307,14,6.977,0.876,NULL,NULL,Western Europe,NULL,0.306,NULL,NULL,2018
Germany,NULL,1.34,1.474,0.586,0.273,15,6.965,0.861,NULL,NULL,Western Europe,NULL,0.28,NULL,NULL,2018
Belgium,NULL,1.324,1.483,0.583,0.188,16,6.927,0.894,NULL,NULL,Western Europe,NULL,0.24,NULL,NULL,2018
Luxembourg,NULL,1.576,1.52,0.632,0.196,17,6.91,0.896,NULL,NULL,Western Europe,NULL,0.321,NULL,NULL,2018
United States,NULL,1.398,1.471,0.547,0.291,18,6.886,0.819,NULL,NULL,North America,NULL,0.133,NULL,NULL,2018
Israel,NULL,1.301,1.559,0.533,0.354,19,6.814,0.883,NULL,NULL,Middle East and Northern Africa,NULL,0.272,NULL,NULL,2018
United Arab Emirates,NULL,2.096,0.776,0.284,0.186,20,6.774,0.67,NULL,NULL,Middle East and Northern Africa,NULL,N/A,NULL,NULL,2018
Czech Republic,NULL,1.233,1.489,0.543,0.064,21,6.711,0.854,NULL,NULL,Central and Eastern Europe,NULL,0.034,NULL,NULL,2018
Malta,NULL,1.27,1.525,0.645,0.376,22,6.627,0.884,NULL,NULL,Western Europe,NULL,0.142,NULL,NULL,2018
France,NULL,1.293,1.466,0.52,0.098,23,6.489,0.908,NULL,NULL,Western Europe,NULL,0.176,NULL,NULL,2018
Mexico,NULL,1.038,1.252,0.479,0.069,24,6.488,0.761,NULL,NULL,Latin America and Caribbean,NULL,0.095,NULL,NULL,2018
Chile,NULL,1.131,1.331,0.431,0.197,25,6.476,0.808,NULL,NULL,Latin America and Caribbean,NULL,0.061,NULL,NULL,2018
Taiwan,NULL,1.365,1.436,0.418,0.151,26,6.441,0.857,NULL,NULL,Eastern Asia,NULL,0.078,NULL,NULL,2018
Panama,NULL,1.112,1.438,0.597,0.125,27,6.43,0.759,NULL,NULL,Latin America and Caribbean,NULL,0.063,NULL,NULL,2018
Brazil,NULL,0.986,1.474,0.493,0.11,28,6.419,0.675,NULL,NULL,Latin America and Caribbean,NULL,0.088,NULL,NULL,2018
